,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Rio Grande,BR,-32.035,-52.0986,50.45,79,79,6.08,broken clouds
321,Celestun,MX,20.8667,-90.4,75.27,88,78,9.8,broken clouds
322,Dali,CN,25.7,100.1833,63.39,92,98,2.75,overcast clouds
323,Borogontsy,RU,62.6683,131.1683,72.95,74,72,1.48,light rain
324,Haines Junction,CA,60.7522,-137.5108,53.55,87,84,2.3,broken clouds
325,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,76,40,13.8,scattered clouds
326,Qaanaaq,GL,77.484,-69.3632,42.66,63,9,7.72,clear sky
327,Puerto Asis,CO,0.5133,-76.5007,68.99,98,94,0.81,overcast clouds
328,Concepcion,CL,-36.827,-73.0498,48.0,93,75,3.44,broken clouds
329,Kukshi,IN,22.2,74.75,90.52,51,78,14.72,broken clouds
330,Gannan,CN,47.9147,123.5031,83.97,69,5,8.59,clear sky
331,Itaituba,BR,-4.2761,-55.9836,70.39,98,35,2.24,scattered clouds
332,Sayat,TM,38.7839,63.8803,96.67,13,1,17.38,clear sky
333,Makakilo City,US,21.3469,-158.0858,79.12,68,20,6.91,few clouds
334,Port Hardy,CA,50.6996,-127.4199,60.98,94,100,0.0,overcast clouds
335,Ayan,RU,56.45,138.1667,58.5,94,74,9.31,broken clouds
336,Seoul,KR,37.5683,126.9778,80.2,91,100,6.91,moderate rain
337,Adrar,MR,20.5022,-10.0711,85.66,52,7,9.71,clear sky
338,Bergen,NO,60.392,5.328,60.08,88,75,8.05,broken clouds
339,Beysehir,TR,37.6773,31.7246,86.7,22,0,4.38,clear sky
340,Madimba,TZ,-10.4,40.3333,81.73,58,1,6.82,clear sky
341,Bahia De Caraquez,EC,-0.6,-80.4167,71.71,87,92,6.11,overcast clouds
342,Leh,IN,34.1667,77.5833,68.25,40,96,9.69,overcast clouds
343,Torres,BR,-29.3353,-49.7269,49.59,90,54,6.31,broken clouds
344,Chapais,CA,49.7834,-74.8492,60.58,88,98,4.76,overcast clouds
