City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Lagunas,PE,70.65,broken clouds,-5.2269,-75.6753,Hospedaje Eco
483,Bulawayo,ZW,74.5,clear sky,-20.15,28.5833,4 On Housman Backpackers
486,Benguela,AO,72.12,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
489,Riverton,US,77.2,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
490,Champerico,GT,78.98,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
491,Soubre,CI,76.75,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
492,Zhigansk,RU,74.66,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
495,Ambunti,PG,79.92,scattered clouds,-4.2365,142.8448,AMBUNTI HIDE INN
497,Brigantine,US,75.0,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
501,Tual,ID,79.39,broken clouds,-5.6667,132.75,Grand Vilia Hotel
502,Port Hedland,AU,77.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
505,Kutum,SD,78.73,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
506,Dillon,US,77.25,overcast clouds,34.4166,-79.3712,Dillon Express Inn
512,Axim,GH,77.31,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
514,Cabedelo,BR,75.06,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
520,Paracuru,BR,75.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
528,Greenville,US,77.16,broken clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
529,Isiro,CD,71.89,overcast clouds,2.7739,27.616,Guest House Hewa Bora
534,Mayo,US,73.58,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
537,Northport,US,75.25,overcast clouds,33.229,-87.5772,Hotel Capstone
